Accession Number,DOI,Pubmed ID,Article Title,Authors,Source,Research Area,Document Type,Volume,Issue,Pages,Publication Date,Times Cited,Link,Journal Expected Citations,Category Expected Citations,Collaboration Category Expected Citations,Journal Normalized Citation Impact,Category Normalized Citation Impact,Collab-CNCI,Collaboration Type,Percentile in Subject Area,Journal Impact Factor
WOS:000697053800001,10.1016/j.landurbplan.2021.104217,n/a,Street view imagery in urban analytics and GIS: A review,"Biljecki, Filip; Ito, Koichi",LANDSCAPE AND URBAN PLANNING,0713 Ecology; 0833 Urban and Rural Planning; 0705 Geography; 0830 Environmental Science and Engineering; 0834 Landscape Architecture; 1305 Design,Review,215,n/a,n/a,2021,442,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000697053800001,85.428571,33.680850982666016,35.0,5.17,13.1232,12.6286,Domestic - Single,97.8723,8.119
WOS:000496895900002,10.1016/j.landurbplan.2019.103669,n/a,Analyzing spatial relationships between urban land use intensity and urban vitality at street block level: A case study of five Chinese megacities,"Xia, Chang; Yeh, Anthony Gar-On; Zhang, Anqi",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0713 Ecology; 0830 Environmental Science and Engineering,Article,193,n/a,n/a,2020,316,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000496895900002,49.366279,10.37753677368164,7.286685,6.4,30.4504,43.3668,Domestic - Single,99.9323,6.142
WOS:000589911800002,10.1016/j.landurbplan.2020.103920,n/a,Analyzing the effects of Green View Index of neighborhood streets on walking time using Google Street View and deep learning,"Ki, Donghwan; Lee, Sugie",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0834 Landscape Architecture; 0713 Ecology; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,205,n/a,n/a,2021,235,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000589911800002,35.931937,8.213865280151367,5.831099,6.54,28.6102,40.3012,Domestic - Single,99.9346,8.119
WOS:000579382500005,10.1016/j.landurbplan.2020.103919,n/a,Which communities have better accessibility to green space? An investigation into environmental inequality using big data,"Chen, Yang; Yue, Wenze; La Rosa, Daniele",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0713 Ecology; 0830 Environmental Science and Engineering,Article,204,n/a,n/a,2020,230,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000579382500005,49.366279,10.37753677368164,20.27317,4.66,22.1633,11.345,International - Bilateral,99.8647,6.142
WOS:000579383300008,10.1016/j.landurbplan.2020.103951,n/a,"Built environment, urban vitality and social cohesion: Do vibrant neighborhoods foster strong communities?","Mouratidis, Kostas; Poortinga, Wouter",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0833 Urban and Rural Planning; 1305 Design; 0834 Landscape Architecture; 0713 Ecology; 0830 Environmental Science and Engineering,Article,204,n/a,n/a,2020,208,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000579383300008,49.366279,10.37753677368164,20.27317,4.21,20.0433,10.2599,International - Bilateral,99.797,6.142
WOS:000635590700006,10.1016/j.landurbplan.2021.104055,n/a,Urban agriculture ? A necessary pathway towards urban resilience and global sustainability?,"Langemeyer, Johannes; Madrid-Lopez, Cristina; Beltran, Angelica Mendoza; Mendez, Gara Villalba",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0834 Landscape Architecture; 0713 Ecology; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,210,n/a,n/a,2021,194,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000635590700006,35.931937,8.213865280151367,12.473896,5.4,23.6186,15.5525,International - Bilateral,99.8692,8.119
WOS:000681116600002,10.1016/j.landurbplan.2021.104175,n/a,Back to nature: Norwegians sustain increased recreational use of urban green space months after the COVID-19 outbreak,"Venter, Zander S.; Barton, David N.; Gundersen, Vegard; Figari, Helene; Nowell, Megan S.",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,214,n/a,n/a,2021,193,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000681116600002,35.931937,8.213865280151367,5.831099,5.37,23.4969,33.0984,Domestic - Single,99.8038,8.119
WOS:000641324800005,10.1016/j.landurbplan.2021.104092,MEDLINE:36540159,The role of perceived public and private green space in subjective health and wellbeing during and after the first peak of the COVID-19 outbreak,"Poortinga, Wouter; Bird, Natasha; Hallingberg, Britt; Phillips, Rhiannon; Williams, Denitza",LANDSCAPE AND URBAN PLANNING,0705 Geography; 0713 Ecology; 1305 Design; 0834 Landscape Architecture; 0833 Urban and Rural Planning; 0830 Environmental Science and Engineering,Article,211,n/a,n/a,2021,180,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000641324800005,35.931937,8.213865280151367,10.668524,5.01,21.9142,16.8721,Domestic - Multiple,99.7384,8.119
WOS:000568997600003,10.1016/j.landurbplan.2020.103889,n/a,Green Apartheid: Urban green infrastructure remains unequally distributed across income and race geographies in South Africa,"Venter, Zander S.; Shackleton, Charlie M.; Van Staden, Francini; Selomane, Odirilwe; Masterson, Vanessa A.",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0833 Urban and Rural Planning; 0834 Landscape Architecture; 0713 Ecology; 0830 Environmental Science and Engineering,Article,203,n/a,n/a,2020,180,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000568997600003,49.366279,10.37753677368164,27.39535,3.65,17.3452,6.5705,International - Trilateral,99.7294,6.142
WOS:000568996500001,10.1016/j.landurbplan.2020.103873,n/a,How to effectively mitigate urban heat island effect? A perspective of waterbody patch size threshold,"Peng, Jian; Liu, Qianyuan; Xu, Zihan; Lyu, Danna; Du, Yueyue; Qiao, Ruilin; Wu, Jiansheng",LANDSCAPE AND URBAN PLANNING,0705 Geography; 1305 Design; 0833 Urban and Rural Planning; 0713 Ecology; 0834 Landscape Architecture; 0830 Environmental Science and Engineering,Article,202,n/a,n/a,2020,177,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000568996500001,49.366279,10.37753677368164,11.716374,3.59,17.0561,15.1071,Domestic - Multiple,99.6617,6.142
