DOI,来源,研究方向,论文标题,CR_摘要,CR_作者和机构,CR_参考文献DOI,OpenAlex_field_list,OpenAlex_subfield_list,OpenAlex_map_subjects
10.7551/mitpress/12832.001.0001,ART IN THE AGE OF MACHINE LEARNING,0830 Environmental Science and Engineering; 0301 Law; 0833 Urban and Rural Planning; 0503 Journalism and Communication; 0303 Sociology; 1303 Drama Film and Television; 0712 History of Science and Technology; 0101 Philosophy; 0812 Computer Science and Technology; 1202 Business Administration; 1205 Library and Information Science & Archive Management; 0813 Architecture; 0402 Psychology,Art in the Age of Machine Learning,"An examination of machine learning art and its practice in new media art and music. Over the past decade, an artistic movement has emerged that draws on machine learning as both inspiration and medium. In this book, transdisciplinary artist-researcher Sofian Audry examines artistic practices at the intersection of machine learning and new media art, providing conceptual tools and historical perspectives for new media artists, musicians, composers, writers, curators, and theorists. Audry looks at works from a broad range of practices, including new media installation, robotic art, visual art, electronic music and sound, and electronic literature, connecting machine learning art to such earlier artistic practices as cybernetics art, artificial life art, and evolutionary art. Machine learning underlies computational systems that are biologically inspired, statistically driven, agent-based networked entities that program themselves. Audry explains the fundamental design of machine learning algorithmic structures in terms accessible to the nonspecialist while framing these technologies within larger historical and conceptual spaces. Audry debunks myths about machine learning art, including the ideas that machine learning can create art without artists and that machine learning will soon bring about superhuman intelligence and creativity. Audry considers learning procedures, describing how artists hijack the training process by playing with evaluative functions; discusses trainable machines and models, explaining how different types of machine learning systems enable different kinds of artistic practices; and reviews the role of data in machine learning art, showing how artists use data as a raw material to steer learning systems and arguing that machine learning allows for novel forms of algorithmic remixes.","[{""name"": ""Sofian Audry"", ""affiliation"": []}]",[],"['Computer Science', 'Decision Sciences', 'Neuroscience']","['Information Systems and Management', 'Computer Vision and Pattern Recognition', 'Cognitive Neuroscience']","[[('0812 计算机科学与技术', 0.7697), ('0839 网络空间安全', 0.7566), ('0811 控制科学与工程', 0.7551), ('0835 软件工程', 0.7476), ('1405 智能科学与技术', 0.7393)], [('1201 管理科学与工程', 0.7645), ('0811 控制科学与工程', 0.7569), ('0714 统计学', 0.7511), ('0711 系统科学', 0.7506), ('0812 计算机科学与技术', 0.7461)], [('0710 生物学', 0.7369), ('0402 心理学', 0.7327), ('1405 智能科学与技术', 0.7293), ('0811 控制科学与工程', 0.7277), ('1002 临床医学', 0.7245)], [('1201 管理科学与工程', 0.7741), ('1205 信息资源管理', 0.7676)], [('0811 控制科学与工程', 0.7558), ('0812 计算机科学与技术', 0.7479)], [('0811 控制科学与工程', 0.7242), ('0402 心理学', 0.7233)]]"
10.3366/jbctv.2020.0507,JOURNAL OF BRITISH CINEMA AND TELEVISION,1303 Drama Film and Television,Explicit and Implicit Diversity Policy in the UK Film and Television Industries,"This article adapts Jeremy Ahearne's conception of explicit and implicit cultural policy for a novel analysis of contemporary diversity policy in the British film and television industries. It demonstrates how distinguishing explicit and implicit diversity policy enables a better understanding of the policies, practices and strategic actions that impact workforce diversity outcomes. We provide an in-depth analysis of the different types of intervention that have been used to increase workforce diversity in the film and television industries in the UK since 2012. We then examine the arguments used to justify increased workforce diversity, focusing on the ‘business case for diversity’ and the logics which underpin it. Drawing on our own research as well as on industry reports and secondary literature, we examine the explicit and implicit workings of these policies and how they affect workforce diversity outcomes. We argue that the implicit/explicit dichotomy nuances and improves our understanding of the competing and contradictory forces that shape strategic courses of action regarding workforce diversity in the film and television industries, and provides a more nuanced conceptualisation of diversity policies and their outcomes.","[{""name"": ""Jack Newsinger"", ""affiliation"": []}, {""name"": ""Doris Ruth Eikhof"", ""affiliation"": []}]","[""10.1080/10286630902746245"", ""10.1080/10286630902923323"", ""10.1177/1367549417733002"", ""10.1080/09548963.2011.589710"", ""10.1111/gwao.12199"", ""10.1108/17566261211234652"", ""10.1177/1350508416687768"", ""10.1108/ER-08-2012-0061"", ""10.1080/10286630500067606"", ""10.1177/0170840612453525"", ""10.1057/9781137426383"", ""10.1080/15405702.2013.810081"", ""10.3366/jbctv.2017.0386"", ""10.1080/10286632.2011.561334"", ""10.1007/978-3-319-71716-6_25"", ""10.1080/14682753.2015.1015802"", ""10.1177/0950017016643482"", ""10.1177/0950017014542498"", ""10.1177/0163443711436356"", ""10.1177/1360780417726732"", ""10.1111/1467-954X.12242""]",['Social Sciences'],"['Urban Studies', 'Gender Studies']","[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0833 城乡规划学', 0.7511), ('0705 地理学', 0.7475)], [('0821 纺织科学与工程', 0.7467), ('0502 外国语言文学', 0.741)]]"
10.1386/jams_00052_1,JOURNAL OF AFRICAN MEDIA STUDIES,1303 Drama Film and Television; 0303 Sociology; 0503 Journalism and Communication,South African newspaper coverage of COVID-19: A content analysis,"The ongoing coronavirus pandemic has led to unprecedented media coverage globally and in South Africa where, at the time of writing, over 20,000 people had died from the virus. This article explores how mainstream print media covered the COVID-19 pandemic during this time of crisis. The news media play a key role in keeping the public informed during such health crises and potentially shape citizens’ perceptions of the pandemic. Drawing on a content analysis of 681 front-page news stories across eleven English-language publications, we found that nearly half of the stories used an alarmist narrative, more than half of the stories had a negative tone, and most publications reported in an episodic rather than thematic manner. Most of the stories focused on impacts of the pandemic and included high levels of sensationalism. In addition, despite the alarmist and negative nature of the reporting, most of the front-page reports did not provide information about ways to limit the spread of the virus or attempt to counter misinformation about the pandemic, raising key issues about the roles and responsibilities of the South African media during the COVID-19 pandemic. This study shows that South African newspaper coverage of COVID-19 was largely negative, possibly to attract audience attention and increase market share, but that this alarmist coverage left little possibility for citizens’ individual agency and self-efficacy in navigating the pandemic.","[{""name"": ""Herman Wasserman"", ""affiliation"": [""ISNI: 0000000419371151 University of Cape Town""]}, {""name"": ""Wallace Chuma"", ""affiliation"": [""ISNI: 0000000419371151 University of Cape Town""]}, {""name"": ""Tanja Bosch"", ""affiliation"": [""ISNI: 0000000419371151 University of Cape Town""]}, {""name"": ""Chikezie E. Uzuegbunam"", ""affiliation"": [""ISNI: 0000000419371151 University of Cape Town""]}, {""name"": ""Rachel Flynn"", ""affiliation"": [""ISNI: 0000000419371151 University of Cape Town""]}]","[""10.1007/s10900-020-00913-w"", ""10.24908/ss.v18i1.13985"", ""10.1086/297771"", ""10.1080/10410236.2018.1437524"", ""10.1080/10410236.2012.658550"", ""10.1080/03056240701672544"", ""10.34172/hpp.2020.40"", ""10.1016/j.socscimed.2018.01.023"", ""10.1016/j.ypmed.2016.09.016"", ""10.1177/0267323113486235"", ""10.1016/j.socscimed.2004.11.031"", ""10.1080/02589346.2018.1446482"", ""10.1080/00020184.2018.1426312"", ""10.1080/13032917.2020.1730621"", ""10.3934/mbe.2020147"", ""10.1386/jams_00052_1""]","['Economics, Econometrics and Finance', 'Arts and Humanities', 'Social Sciences']","['Economics and Econometrics', 'Literature and Literary Theory', 'Sociology and Political Science']","[[('0202 应用经济学', 0.766), ('0714 统计学', 0.7639), ('0201 理论经济学', 0.7634), ('1202 工商管理学', 0.7449), ('0701 数学', 0.7423)], [('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0202 应用经济学', 0.7539), ('0201 理论经济学', 0.7475)], [('0501 中国语言文学', 0.7442), ('0502 外国语言文学', 0.7423)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]"
10.3366/jbctv.2020.0510,JOURNAL OF BRITISH CINEMA AND TELEVISION,1303 Drama Film and Television,What about the Men? Gender Inequality Data and the Rhetoric of Inclusion in the US and UK Film Industries,"This article argues that cis, hetero, abled, middle-class, white men – as a group and as an identity category – are the structuring absence of inequality discourse and, as a consequence, it is ‘diverse’ persons who bear both the burden of and any hope for changing the film industry. By ‘re-reading’ gender inequality data, diversity initiatives and inclusion rhetoric, this article shows the ways in which they elide men's domination of the film industry and perversely reinforce it as the norm. Articulating how data on gender representation behind the camera can both illuminate inequality and be used to obfuscate it, the article looks closely at selected reports in order to see what they do and do not tell us about gender inequality and the unequal presence of men in the industry. As the dominating demographic of the film-making workforce, the white middle-class male is also the structuring absence of the inclusion rhetoric which maintains the status quo of inequality in the film industry by interpellating ‘diverse’ persons as outsiders who must gain the attention of the white middle-class men who may or may not choose to include them.","[{""name"": ""Shelley Cobb"", ""affiliation"": []}]","[""10.1057/978-1-137-55495-6_12"", ""10.1111/1467-954X.12244"", ""10.2307/1229039"", ""10.3366/edinburgh/9780748698233.001.0001"", ""10.1111/gwao.12318"", ""10.1057/978-1-137-48992-0"", ""10.1177/1350506817692387"", ""10.3366/jbctv.2017.0386"", ""10.3366/jbctv.2020.0506"", ""10.1525/fmh.2017.3.3.107""]",['Social Sciences'],"['Urban Studies', 'Gender Studies']","[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0833 城乡规划学', 0.7511), ('0705 地理学', 0.7475)], [('0821 纺织科学与工程', 0.7467), ('0502 外国语言文学', 0.741)]]"
10.3366/jbctv.2020.0506,JOURNAL OF BRITISH CINEMA AND TELEVISION,1303 Drama Film and Television,The New Babel: The Language and Practice of Institutionalised Diversity in the UK Film Industry,"This article traces the evolution of diversity policy in the British film industry and seeks to explore how the under-representation of BAME groups has been defined vis-à-vis shifting political discourses, in particular those emerging from the Conservative-dominated coalition government which came to power in 2010. This also enables an exploration of how various diversity issues have been addressed within the specifically depoliticised language used to articulate such inequalities within the film sector and an examination of whether recent developments in the British film industry are a genuine challenge to the exclusion of ethnic minorities in British film. At a moment when the diversity agenda has re-emerged, this article offers a critical examination of the ways in which specific political moments have influenced the production and grammar of contemporary diversity policy. The article concludes by offering an analysis of current diversity strategies devised from the beginning of the British Film Institute's role as the lead body for British film production in 2011 to the present day and traces out the patterns of decontextualisation, naturalisation and acquiescence which characterise such strategies.","[{""name"": ""Clive James Nwonka"", ""affiliation"": []}]","[""10.1525/fmh.2017.3.3.107"", ""10.3366/jbctv.2014.0200"", ""10.3366/edinburgh/9780748698233.001.0001"", ""10.1177/014920638801400206"", ""10.1525/9780520937871"", ""10.1215/9780822373650"", ""10.1080/15405702.2013.810068"", ""10.1057/9781137426383"", ""10.3366/jbctv.2012.0094"", ""10.1080/10286632.2015.1015532"", ""10.1080/15405702.2013.810081"", ""10.3366/jbctv.2017.0386"", ""10.3366/jbctv.2012.0065"", ""10.1080/14682753.2015.1015802"", ""10.1080/09548963.2016.1170943"", ""10.3998/mij.15031809.0003.101""]",['Social Sciences'],"['Political Science and International Relations', 'Urban Studies', 'Gender Studies']","[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7764), ('1204 公共管理学', 0.7587)], [('0833 城乡规划学', 0.7511), ('0705 地理学', 0.7475)], [('0821 纺织科学与工程', 0.7467), ('0502 外国语言文学', 0.741)]]"
10.1525/FQ.2022.75.3.26,FILM QUARTERLY,1303 Drama Film and Television,ON THE NECESSITY OF BAD TRANS OBJECTS,"Despite newly affirming images of transgender people proliferating across US visual media, there has been a concomitant rise in anti-transgender attitudes, transphobic legislation, and trans antagonistic violence. The assumption that more and better images of transgender people are key to achieving transgender equality strains under the weight of an emerging contradiction: “good” representation does not necessarily mean reduced social or political antagonism for transgender people. Rather, the emergence of “good” (i.e. marketable) trans media objects illustrates how the most politically challenging aspects of transgender identification are increasingly forced outside the horizon of representability. This essay turns away from “good” transgender representations and toward an archive of recently canceled “bad” transgender media objects, offering new assessments of their unexpected value. Claiming badness as a trans property that must be embraced to achieve sex and gender liberation, it defends bad trans objects as unrecognized sources of transformative potential.","[{""name"": ""Cáel M. Keegan"", ""affiliation"": []}]",[],"['Economics, Econometrics and Finance', 'Social Sciences']","['Economics and Econometrics', 'Gender Studies', 'Law']","[[('0202 应用经济学', 0.766), ('0714 统计学', 0.7639), ('0201 理论经济学', 0.7634), ('1202 工商管理学', 0.7449), ('0701 数学', 0.7423)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0202 应用经济学', 0.7539), ('0201 理论经济学', 0.7475)], [('0821 纺织科学与工程', 0.7467), ('0502 外国语言文学', 0.741)], [('0301 法学', 0.727), ('1012 法医学', 0.7153)]]"
10.1386/jams_00065_1,JOURNAL OF AFRICAN MEDIA STUDIES,1303 Drama Film and Television; 0303 Sociology; 0503 Journalism and Communication,Guardians of truth? Fact-checking the 'disinfodemic' in Southern Africa during the COVID-19 pandemic,"Based on virtual ethnography and online interviews, we provide new evidence of how fact-checking organizations based in Zimbabwe, South Africa and Namibia responded to the influx of conspiracy theories, mis- and disinformation during the COVID-19 pandemic. This study seeks to answer the following questions: What kind of responses did ZimFact, Africa Check and Namibia Fact Check put in place to combat the spread of the ‘disinfodemic’ during the outbreak of COVID-19 in Southern Africa? To what extent were these interventions effective in terms of combating the viral spread of the ‘disinfodemic’ in the broader information ecosystem? It argues that through a combination of manual and technology-enabled verification processes, these organizations were partly able to debunk some of the harmful, conspiratorial and misleading claims related to the coronavirus. It demonstrates that fact-checking alone is not enough to stem the ‘disinfodemic’ unless it is complemented by an ecosystem that prioritizes access to information, media literacy initiatives, proactive takedown interventions by platform companies and increased public awareness on truthful and credible public health information. Furthermore, fact-checking organizations need to increase the speed at which they respond to the ‘disinfodemic’ if virality, which is the major driver of this ‘phenomenon’, is to be mitigated. We recommend that fact-checkers should implement efficient mechanisms of decentralizing their activities, amplify the sharing of verified information, forge collaborative initiatives with key actors and ramp up critical media literacy programmes.","[{""name"": ""Admire Mare"", ""affiliation"": [""ISNI: 0000000087529062 Namibia University of Science and Technology""]}, {""name"": ""Allen Munoriyarwa"", ""affiliation"": [""ISNI: 000000010109131X University of Johannesburg""]}]","[""10.1191/1478088706qp063oa"", ""10.1002/9781118841570.iejs0022"", ""10.1177/1329878X0310700106"", ""10.25200/BJR.v7n2.2011.355"", ""10.1080/21670811.2018.1493940"", ""10.3390/ijerph17072309"", ""10.1080/10584609.2019.1661888"", ""10.17645/mac.v6i4.1519"", ""10.1016/S0140-6736(20)30461-X"", ""10.1386/jams_00065_1""]","['Computer Science', 'Social Sciences']","['Communication', 'Artificial Intelligence', 'Sociology and Political Science']","[[('0812 计算机科学与技术', 0.7697), ('0839 网络空间安全', 0.7566), ('0811 控制科学与工程', 0.7551), ('0835 软件工程', 0.7476), ('1405 智能科学与技术', 0.7393)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0503 新闻传播学', 0.7528), ('0810 信息与通信工程', 0.7451)], [('1405 智能科学与技术', 0.7329), ('0812 计算机科学与技术', 0.7301)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]"
10.1177/2336825X20906315,NEW PERSPECTIVES,0502 Foreign Language and Literature; 1303 Drama Film and Television; 0603 World History; 0101 Philosophy; 0302 Political Science; 0303 Sociology; 0705 Geography; 1204 Public Administration,"Acting local, thinking global: Globalizing resilience through 100 Resilient Cities","This article investigates the globalization of resilience by examining a particular and prominent vehicle for the dissemination of resilience ideas: the Rockefeller Foundation’s 100 Resilient Cities (100RC) initiative. As a philanthropic initiative organized through a network of international cities, 100RC demonstrates how the spread of resilience thinking has been facilitated by exploiting changes in the structures and processes of global governance afforded by neoliberal globalization. The analysis focuses on explicating100RC’s animating logic of governance, which is committed to the cultivation of network connectivity. Rather than directly fostering resilience, connectivity is established as a condition under which resilience solutions can be immanently surfaced from the interactions of a diverse selection of stakeholders brought together through these networks. The article situates this governmental logic within broader changes associated with neoliberal globalization, namely the emergence of multi-scalar governance networks, the rise of philanthrocapitalism and the inception of platform capitalism. The conclusion discusses the implications of this analysis for further study of the relation between connectivity, danger, knowledge and value contained within resilience discourses.","[{""name"": ""Chris Zebrowski"", ""affiliation"": [""Loughborough University, UK""]}]","[""10.1177/0002764214550299"", ""10.1111/1467-9256.12079"", ""10.1068/d140133"", ""10.1177/1474474017726556"", ""10.1007/978-1-349-27295-2_12"", ""10.1111/j.0020-8833.2004.00310.x"", ""10.1016/j.polgeo.2005.07.002"", ""10.4324/9781315773810"", ""10.1093/acprof:oso/9780195328721.001.0001"", ""10.1007/s10021-001-0101-5"", ""10.1111/1467-9256.12010"", ""10.1177/0305829816638166"", ""10.2218/finsoc.v3i1.1936"", ""10.1111/1467-8330.00252"", ""10.1080/02723638.2018.1446870"", ""10.1080/03085140902786611"", ""10.1002/9780470400791"", ""10.1016/j.bushor.2003.11.007"", ""10.1177/1534484305285335"", ""10.1016/j.poetic.2012.02.006"", ""10.1080/01436597.2014.868989"", ""10.2307/591464"", ""10.4159/9780674369542"", ""10.1017/CBO9780511549472"", ""10.1080/0969229032000048853"", ""10.1080/0955757042000203632"", ""10.1080/09654310120079797"", ""10.1177/0002764215591187"", ""10.1057/978-1-349-94860-4"", ""10.1177/0967010611399616"", ""10.1016/j.landusepol.2012.07.011"", ""10.5751/ES-05100-180122"", ""10.1177/0149206307305562"", ""10.1080/21693293.2013.804672"", ""10.1080/21693293.2016.1228158""]","['Business, Management and Accounting', 'Economics, Econometrics and Finance', 'Social Sciences']","['Economics and Econometrics', 'Strategy and Management', 'Sociology and Political Science']","[[('1202 工商管理学', 0.7094), ('1201 管理科学与工程', 0.701), ('0714 统计学', 0.6903), ('0202 应用经济学', 0.685), ('0701 数学', 0.6834)], [('0202 应用经济学', 0.766), ('0714 统计学', 0.7639), ('0201 理论经济学', 0.7634), ('1202 工商管理学', 0.7449), ('0701 数学', 0.7423)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0202 应用经济学', 0.7539), ('0201 理论经济学', 0.7475)], [('1201 管理科学与工程', 0.7505), ('1202 工商管理学', 0.7443)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)]]"
10.5209/hics.77110,HISTORIA Y COMUNICACION SOCIAL,1303 Drama Film and Television; 0603 World History,From radio to audio on demand: the management of podcasting platforms in the Spanish market,"Un siglo después de su nacimiento, la radio se enfrenta a un entorno de competencia por la escucha de audio condicionado por los dispositivos y hábitos de consumo digital. En ese escenario, el podcast está adquiriendo una creciente relevancia en términos de oferta y penetración, si bien sus lógicas resultan cada vez más determinadas por la economía de las plataformas. Esta investigación sistematiza y compara los modelos de gestión de 12 redes independientes de podcast en España, México y Argentina, países donde más se ha consolidado el formato en el mercado hispanohablante. Los resultados revelan significativas diferencias en la catalogación de contenidos, las herramientas de difusión de los catálogos y las fórmulas de financiación, donde la suscripción se vislumbra como mecanismo más eficiente para el asentamiento del sector.","[{""name"": ""Raúl Terol Bolinches"", ""affiliation"": []}, {""name"": ""Luis Miguel Pedrero Esteban"", ""affiliation"": []}, {""name"": ""Mónica Pérez Alaejos"", ""affiliation"": []}]","[""10.3917/espri.1107.0111"", ""10.1177/1354856506066522"", ""10.1080/19376529.2015.1083363"", ""10.3145/epi.2019.ene.09"", ""10.1080/19376529.2015.1083371"", ""10.31921/doxacom.n30a5"", ""10.5209/esmp.71204"", ""10.5209/ARAB.53356"", ""10.1177/1461444811420848"", ""10.1590/1809-5844201737"", ""10.14201/fjc20181791106"", ""10.3390/publications9020024"", ""10.33767/osf.io/4fcgu""]","['Arts and Humanities', 'Computer Science', 'Social Sciences']","['Computer Networks and Communications', 'History', 'Communication']","[[('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0812 计算机科学与技术', 0.7697), ('0839 网络空间安全', 0.7566), ('0811 控制科学与工程', 0.7551), ('0835 软件工程', 0.7476), ('1405 智能科学与技术', 0.7393)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0812 计算机科学与技术', 0.7362), ('0839 网络空间安全', 0.7268)], [('0602 中国史', 0.7697), ('0603 世界史', 0.7625)], [('0503 新闻传播学', 0.7528), ('0810 信息与通信工程', 0.7451)]]"
10.5209/hics.74248,HISTORIA Y COMUNICACION SOCIAL,1303 Drama Film and Television; 0603 World History,Fake News: The COVID-19 pandemic and its chronology in the tourism sector,"La alarma social generada por noticias falsas difundidas exponencialmente a través de Twitter, Facebook o Instagram (donde se puede opinar sin contrastar) y cadenas sociales como WhatsApp, facilitan y en muchas ocasiones dificultan la planificación y tareas a llevar a cabo de las instituciones públicas para gestionar el problema. Los medios de comunicación y las redes sociales se han hecho eco desde el primer momento de la pandemia causada por el coronavirus desde finales del año 2019, provocando multitud de informaciones a nivel global. Nos encontramos ante una doble pandemia: la generada por el propio coronavirus (COVID-19) y por las llamadas fake news -bulos e información no contrastada que finalmente deriva en una perturbación, incertidumbre, alarmismo incontrolado y miedo colectivo-.","[{""name"": ""Almudena Barrientos-Báez"", ""affiliation"": []}, {""name"": ""Alba María Martínez-Sala"", ""affiliation"": []}, {""name"": ""Verónica Paulina Altamirano"", ""affiliation"": []}, {""name"": ""David Caldevilla Domínguez"", ""affiliation"": []}]","[""10.1016/j.chb.2016.03.067"", ""10.15198/seeci.2020.53.37-51"", ""10.35742/rcci.2018.23(1).43-52"", ""10.15178/va.2018.144.19-35"", ""10.3145/epi.2020.mar.19"", ""10.35669/rcys.2020.10(2).461-481"", ""10.35669/rcys.2020.10(2).109-125"", ""10.35669/rcys.2020.10(2).343-354"", ""10.1590/2318-08892018000200010""]","['Computer Science', 'Social Sciences']","['Information Systems', 'Communication']","[[('0812 计算机科学与技术', 0.7697), ('0839 网络空间安全', 0.7566), ('0811 控制科学与工程', 0.7551), ('0835 软件工程', 0.7476), ('1405 智能科学与技术', 0.7393)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0839 网络空间安全', 0.7454), ('0812 计算机科学与技术', 0.7417)], [('0503 新闻传播学', 0.7528), ('0810 信息与通信工程', 0.7451)]]"
