DOI,来源,研究方向,论文标题,CR_摘要,CR_作者和机构,CR_参考文献DOI,OpenAlex_field_list,OpenAlex_subfield_list,OpenAlex_map_subjects
10.1162/leon_a_02003,LEONARDO,1304 Fine Art; 1301 Art Theory,Crypto Art A Decentralized View,"Abstract Crypto art is limited-edition digital art, cryptographically registered with a token on a blockchain. Tokens represent a transparent, auditable origin and provenance for a piece of digital art. Blockchain technology allows tokens to be held and securely traded without the involvement of third parties. Crypto art draws its origins from conceptual art—sharing the immaterial and distributive nature of artworks, the tight blending of artworks with currency and the rejection of conventional art markets and institutions. The authors propose a collection of viewpoints on crypto art from different actors within the system: artists, collectors, gallerists, art historians and data scientists. A set of emerging themes and open challenges surfaces.","[{""name"": ""Massimo Franceschet"", ""affiliation"": [""Massimo Franceschet, Department of Mathematics, Computer Science, and Physics, University of Udine. Email: massimo.franceschet@uniud.it.""]}, {""name"": ""Giovanni Colavizza"", ""affiliation"": [""Giovanni Colavizza, Department of Media Studies, University of Amsterdam. Email: g.colavizza@uva.nl.""]}, {""name"": ""T’ai Smith"", ""affiliation"": [""T’ai Smith, Department of Art History, Visual Art and Theory, University of British Columbia. Email: tai.smith@ubc.ca.""]}, {""name"": ""Blake Finucane"", ""affiliation"": [""Blake Finucane, Department of Art History, Visual Art and Theory, University of British Columbia. Email: blake@blakefinucane.ca.""]}, {""name"": ""Martin Lukas Ostachowski"", ""affiliation"": [""Martin Lukas Ostachowski, ArtbyMLO. Email: martin@ostachowski.com.""]}, {""name"": ""Sergio Scalet"", ""affiliation"": [""Sergio Scalet, Hackatao. Email: sergio.scalet@hackatao.com.""]}, {""name"": ""Jonathan Perkins"", ""affiliation"": [""Jonathan Perkins, SuperRare.co. Email: jperkins@pixura.io.""]}, {""name"": ""James Morgan"", ""affiliation"": [""James Morgan, KnownOrigin.io. Email: james.morgan@blockrocket.tech.""]}, {""name"": ""Sebastián Hernández"", ""affiliation"": [""Sebastián Hernández, the Momus Collective. Email: sebdecentr@protonmail.com.""]}]",[],"['Arts and Humanities', 'Neuroscience']","['Visual Arts and Performing Arts', 'Cognitive Neuroscience']","[[('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0710 生物学', 0.7369), ('0402 心理学', 0.7327), ('1405 智能科学与技术', 0.7293), ('0811 控制科学与工程', 0.7277), ('1002 临床医学', 0.7245)], [('1301 艺术学', 0.7035), ('0501 中国语言文学', 0.691)], [('0811 控制科学与工程', 0.7242), ('0402 心理学', 0.7233)]]"
10.1162/LEON_a_01930,LEONARDO,1304 Fine Art; 1301 Art Theory,Visual Indeterminacy in GAN Art,"This paper explores visual indeterminacy as a description for artwork created with Generative Adversarial Networks (GANs). Visual indeterminacy describes images that appear to depict real scenes, but on closer examination, defy coherent spatial interpretation. GAN models seem to be predisposed to producing indeterminate images, and indeterminacy is a key feature of much modern representational art, as well as most GAN art. The author hypothesizes that indeterminacy is a consequence of a powerful-but-imperfect image synthesis model that must combine general classes of objects, scenes and textures.","[{""name"": ""Aaron Hertzmann"", ""affiliation"": [""Adobe Research 601 Townsend St San Francisco, CA 94103 U.S.A.""]}]","[""10.1023/A:1026553619983""]","['Computer Science', 'Neuroscience']","['Computer Vision and Pattern Recognition', 'Cognitive Neuroscience']","[[('0812 计算机科学与技术', 0.7697), ('0839 网络空间安全', 0.7566), ('0811 控制科学与工程', 0.7551), ('0835 软件工程', 0.7476), ('1405 智能科学与技术', 0.7393)], [('0710 生物学', 0.7369), ('0402 心理学', 0.7327), ('1405 智能科学与技术', 0.7293), ('0811 控制科学与工程', 0.7277), ('1002 临床医学', 0.7245)], [('0811 控制科学与工程', 0.7558), ('0812 计算机科学与技术', 0.7479)], [('0811 控制科学与工程', 0.7242), ('0402 心理学', 0.7233)]]"
10.1093/jaac/kpab060,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Toward a Communitarian Theory of Aesthetic Value,"AbstractOur paradigms of aesthetic value condition the philosophical questions we pose and hope to answer about it. Theories of aesthetic value are typically individualistic, in the sense that the paradigms they are designed to capture, and the questions to which they are offered as answers, center the individual’s engagement with aesthetic value. Here I offer some considerations that suggest that such individualism is a mistake and sketch a communitarian way of posing and answering questions about the nature of aesthetic value.","[{""name"": ""Nick Riggle"", ""affiliation"": [""Department of Philosophy, University of San Diego, San Diego, CA, USA""]}]","[""10.2307/2026797"", ""10.1111/phpr.12641"", ""10.1353/hph.2014.0020"", ""10.1111/phpr.12727"", ""10.1093/acprof:oso/9780199691517.003.0011"", ""10.1093/oso/9780197625798.001.0001"", ""10.1093/aesthj/ayaa006"", ""10.1080/24740500.2017.1287034"", ""10.1086/662744"", ""10.1093/aesthj/ayz024"", ""10.1080/00048400903207104"", ""10.1093/aesthj/ayy044"", ""10.1111/phpr.12747"", ""10.1111/j.1468-0114.2012.01429.x"", ""10.1111/j.1540-6245.2012.01519.x"", ""10.1111/j.1747-9991.2006.00007.x"", ""10.1093/aesthj/ays038""]","['Arts and Humanities', 'Neuroscience']","['Philosophy', 'Visual Arts and Performing Arts', 'Cognitive Neuroscience']","[[('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0710 生物学', 0.7369), ('0402 心理学', 0.7327), ('1405 智能科学与技术', 0.7293), ('0811 控制科学与工程', 0.7277), ('1002 临床医学', 0.7245)], [('0101 哲学', 0.772), ('0702 物理学', 0.7246)], [('1301 艺术学', 0.7035), ('0501 中国语言文学', 0.691)], [('0811 控制科学与工程', 0.7242), ('0402 心理学', 0.7233)]]"
10.1093/jaac/kpab023,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Why the Sublime Is Aesthetic Awe,"Abstract This article focuses on the conceptual relationship between awe and the experience of the sublime. I argue that the experience of the sublime is best conceived as a species of awe, namely, as aesthetic awe. I support this conclusion by considering the prominent conceptual relations between awe and the experience of the sublime, showing that all of the options except the proposed one suffer from serious shortcomings. In maintaining that the experience of the sublime is best conceived as aesthetic awe, I draw from historical theories of the sublime as well as recent work in empirical psychology.","[{""name"": ""Robert R Clewis"", ""affiliation"": [""Philosophy, Gwynedd Mercy University, Gwynedd Valley, PA 19437, USA""]}]","[""10.3389/fpsyg.2020.01340"", ""10.3389/fpsyg.2019.00509"", ""10.1017/CBO9781139018098"", ""10.1017/CBO9780511978920"", ""10.1515/9780804798587"", ""10.1111/jaac.12060"", ""10.1037/a0027200"", ""10.1111/j.1540-594X.2007.00271.x"", ""10.1037/pspp0000120"", ""10.1111/jaac.12258"", ""10.1037/aca0000204"", ""10.3389/fnhum.2014.00891"", ""10.1080/02699930302297"", ""10.5840/philtoday201155162"", ""10.1007/s11098-012-9873-z"", ""10.1111/jaac.12595"", ""10.1037/rev0000213"", ""10.1163/22134913-00002051"", ""10.1037/aca0000273"", ""10.1017/CBO9781139775304"", ""10.1111/j.1475-4975.1997.tb00529.x"", ""10.1093/aesthj/ayaa047"", ""10.1111/1540_6245.jaac51.4.0541"", ""10.1037/rev0000187"", ""10.1093/acprof:oso/9780198747758.001.0001"", ""10.1080/17439760.2018.1484940"", ""10.1037/emo0000450""]","['Economics, Econometrics and Finance', 'Arts and Humanities', 'Social Sciences']","['Economics and Econometrics', 'Literature and Literary Theory', 'Gender Studies']","[[('0202 应用经济学', 0.766), ('0714 统计学', 0.7639), ('0201 理论经济学', 0.7634), ('1202 工商管理学', 0.7449), ('0701 数学', 0.7423)], [('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0202 应用经济学', 0.7539), ('0201 理论经济学', 0.7475)], [('0501 中国语言文学', 0.7442), ('0502 外国语言文学', 0.7423)], [('0821 纺织科学与工程', 0.7467), ('0502 外国语言文学', 0.741)]]"
10.1162/leon_a_01793,LEONARDO,1304 Fine Art; 1301 Art Theory,"Guerilla Science Mixing Science with Art, Music and Play in Unusual Settings","Abstract Outreach activities at the interface of science and art present a unique opportunity to connect and engage with “latently interested” publics who do not otherwise take part in science activities such as visiting science museums. In this article, the authors present “Guerilla Science” as one model that supports the hypothesis that well-designed science and art (STEAM) programming in informal settings can broaden participation in and facilitate engagement with STEM-related topics. The article describes a range of interactive events featuring scientists and artists and accompanying research into the impact of these events on a public audience.","[{""name"": ""Mark Rosin"", ""affiliation"": [""Pratt Institute, Department of Math & Science, 200 Willoughby Avenue, Brooklyn, NY 11205, U.S.A. Email: mark@guerillascience.org.""]}, {""name"": ""Jen Wong"", ""affiliation"": [""Science Gallery London, London SE1 9GU, U.K. Email: jen@guerillascience.org.""]}, {""name"": ""Kari O’Connell"", ""affiliation"": [""STEM Research Center, Oregon State University, Corvallis, OR 97331, U.S.A. Email: kari.oconnell@oregonstate.edu.""]}, {""name"": ""Martin Storksdieck"", ""affiliation"": [""STEM Research Center, Oregon State University, Corvallis, OR 97331, U.S.A. Email: storksdieck@oregonstate.edu.""]}, {""name"": ""Brianna Keys"", ""affiliation"": [""STEM Research Center, Oregon State University, Corvallis, OR 97331, U.S.A. Email: Brianna.keys@oregonstate.edu.""]}]","[""10.1177/0963662506064240"", ""10.1080/09500693.2012.664293"", ""10.1002/sce.20078"", ""10.1002/tea.21227""]","['Arts and Humanities', 'Psychology']","['Social Psychology', 'Experimental and Cognitive Psychology', 'Museology']","[[('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0402 心理学', 0.7693), ('0303 社会学', 0.7389), ('0714 统计学', 0.7326), ('1011 护理学', 0.731), ('1202 工商管理学', 0.7276)], [('0303 社会学', 0.7768), ('0402 心理学', 0.7712)], [('0402 心理学', 0.7575), ('0303 社会学', 0.7301)], [('0601 考古学', 0.7592), ('0602 中国史', 0.7377)]]"
10.1093/aesthj/ayaa006,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Schiller on Freedom and Aesthetic Value: Part I,"Abstract In his Letters on the Aesthetic Education of Man, Friedrich Schiller draws a striking connection between aesthetic value and individual and political freedom, claiming that, ‘it is only through beauty that man makes his way to freedom’. However, contemporary ways of thinking about freedom and aesthetic value make it difficult to see what the connection could be. Through a careful reconstruction of the Letters, we argue that Schiller’s theory of aesthetic value serves as the key to understanding not only his view of aesthetic engagement, but also his distinctive account of individual and political freedom. In Part I, we develop a reconstruction of Schiller's view that aesthetic value is the only path to individual freedom and in Part II we analyze how Schiller connects aesthetic value to political freedom. In the end, we show that Schiller defends a non-hedonic, action-oriented, communitarian theory of aesthetic value and a theory of freedom that makes the aesthetic not just supererogatory but fundamental for any fully autonomous life. Although we have lost touch with this way of thinking about aesthetic value and freedom, we submit that it is illuminating for contemporary thinking about both.","[{""name"": ""Samantha Matherne"", ""affiliation"": [""Harvard University""]}, {""name"": ""Nick Riggle"", ""affiliation"": [""University of San Diego""]}]",[],"['Arts and Humanities', 'Social Sciences']","['Sociology and Political Science', 'Philosophy']","[[('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)], [('0101 哲学', 0.772), ('0702 物理学', 0.7246)]]"
10.1093/aesthj/ayz048,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,One Imagination in Experiences of Beauty and Achievements of Understanding,"Abstract I argue for the unity of imagination in two prima facie diverse contexts: experiences of beauty and achievements of understanding. I develop my argument in three steps. First, I begin by describing a type of aesthetic experience that is grounded in a set of imaginative activities on the part of the person having the experience. Second, I argue that the same set of imaginative activities that grounds this type of aesthetic experience also contributes to achievements of understanding. Third, I show that my unified account of imagination has important implications: it sheds light on two puzzling phenomena, the aesthetic value of science and the cognitive value of art.","[{""name"": ""Angela Breitenbach"", ""affiliation"": [""University of Cambridge""]}]",[],"['Medicine', 'Neuroscience']","['Psychiatry and Mental health', 'Cognitive Neuroscience']","[[('1002 临床医学', 0.7333), ('1007 药学', 0.7307), ('1001 基础医学', 0.7301), ('1008 中药学', 0.7257), ('1005 中医学', 0.7236)], [('0710 生物学', 0.7369), ('0402 心理学', 0.7327), ('1405 智能科学与技术', 0.7293), ('0811 控制科学与工程', 0.7277), ('1002 临床医学', 0.7245)], [('1004 公共卫生与预防医学', 0.7419), ('0402 心理学', 0.7366)], [('0811 控制科学与工程', 0.7242), ('0402 心理学', 0.7233)]]"
10.1162/leon_a_02092,LEONARDO,1304 Fine Art; 1301 Art Theory,Who (or What) Is an AI Artist?,"Abstract The mainstream contemporary art world is suddenly showing interest in AI art. While this has enlivened the practice, there remains significant disagreement over who or what actually deserves to be called an AI artist. This article examines several claimants to the term and grounds these in art history and theory. It addresses the controversial elevation of some artists over others and accounts for these choices, arguing that the art market alienates AI artists from their work. Finally, it proposes that AI art’s interactions with art institutions have not promoted new creative possibilities but have instead reinforced conservative forms and aesthetics.","[{""name"": ""Kieran Browne"", ""affiliation"": [""Kieran Browne, Australian National University, Research School of Humanities & the Arts, Canberra ACT 0200. Email: kieran.browne@anu.edu.au. Website: www.kieranbrowne.com.""]}]","[""10.2307/1578284"", ""10.1162/leon_a_01345"", ""10.1002/9781118475249.ch21"", ""10.1057/9781137437204_2"", ""10.1016/S0142-694X(98)00044-1"", ""10.1145/3186677""]","['Social Sciences', 'Neuroscience']","['Sociology and Political Science', 'Cognitive Neuroscience']","[[('0303 社会学', 0.7395), ('0714 统计学', 0.7394), ('0503 新闻传播学', 0.7379), ('0602 中国史', 0.7298), ('0304 民族学', 0.7297)], [('0710 生物学', 0.7369), ('0402 心理学', 0.7327), ('1405 智能科学与技术', 0.7293), ('0811 控制科学与工程', 0.7277), ('1002 临床医学', 0.7245)], [('0302 政治学', 0.7685), ('0303 社会学', 0.7605)], [('0811 控制科学与工程', 0.7242), ('0402 心理学', 0.7233)]]"
10.1093/aesthj/ayab037,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Learning to Imagine,"Abstract Underlying much current work in philosophy of imagination is the assumption that imagination is a skill. This assumption seems to entail not only that facility with imagining will vary from one person to another, but also that people can improve their own imaginative capacities and learn to be better imaginers. This paper takes up this issue. After showing why this is properly understood as a philosophical question, I discuss what it means to say that one imagining is better than another and then discuss the kinds of imagination training and techniques that might be employed in an effort to get better at imagining. The discussion of these techniques draws insight from consideration of other skills-based activities, as well as from consideration of the creation of art and our engagement with literature and poetry. Over the course of this discussion, we also gain further insight into the nature of imagination.","[{""name"": ""Amy Kind"", ""affiliation"": [""Claremont McKenna College, USA""]}]","[""10.1037/0033-295X.100.3.363"", ""10.4324/9781315180809"", ""10.2307/2025838"", ""10.4324/9781351199797-17"", ""10.1111/j.1933-1592.2001.tb00042.x"", ""10.1017/apa.2017.10"", ""10.4324/9781315180809-33"", ""10.1093/acprof:oso/9780198716808.003.0001"", ""10.2307/2185044"", ""10.2307/2183914"", ""10.1086/203305"", ""10.1111/phc3.12359"", ""10.1080/10413209108406438"", ""10.1016/0001-6918(53)90012-2"", ""10.1111/nous.12144"", ""10.2307/2107292"", ""10.1016/S0001-2092(06)62917-7""]","['Arts and Humanities', 'Psychology']","['Experimental and Cognitive Psychology', 'Philosophy']","[[('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0402 心理学', 0.7693), ('0303 社会学', 0.7389), ('0714 统计学', 0.7326), ('1011 护理学', 0.731), ('1202 工商管理学', 0.7276)], [('0402 心理学', 0.7575), ('0303 社会学', 0.7301)], [('0101 哲学', 0.772), ('0702 物理学', 0.7246)]]"
10.1093/aesthj/ayab018,BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Art as Political Discourse,"Abstract Much art is committed to political causes. However, does art contribute something unique to political discourse, or does it merely reflect the insights of political science and political philosophy? Here I argue for indispensability of art to political discourse by building on the debate about artistic cognitivism, the view that art is a source of knowledge. Different artforms, I suggest, make available specific epistemic resources, which allow audiences to overcome epistemic obstacles that obtain in a given ideological situation. My goal is to offer a general model for identifying cognitive advantages for artworks belonging to distinct artforms and genres (e.g. satire, visibility-raising artworks, caricatures, and so on), in a way that can account for each artwork’s historical and cultural specificity. More speculatively, however, my account also comments on the ancient struggle between philosophy and the arts as competing modes of persuasion, and expands our notion of legitimate political discourse to include a greater plurality of discursive genres.","[{""name"": ""Vid Simoniti"", ""affiliation"": [""University of Liverpool , UK""]}]","[""10.1111/cons.12005"", ""10.1111/j.1475-4975.2009.00186.x"", ""10.1111/1540-6245.00048"", ""10.1093/oso/9780198826903.001.0001"", ""10.1093/acprof:oso/9780198237907.001.0001"", ""10.1093/acprof:oso/9780199263219.001.0001"", ""10.1002/9781444315592.ch18"", ""10.1007/978-1-349-15388-6_3"", ""10.7551/mitpress/1564.001.0001"", ""10.1111/1540_6245.jaac56.4.0331"", ""10.1111/japp.12347"", ""10.1007/s11109-010-9112-2"", ""10.1177/0090591704265729"", ""10.2307/1600311"", ""10.1002/9780470696675""]","['Arts and Humanities', 'Neuroscience']","['Cognitive Neuroscience', 'Visual Arts and Performing Arts', 'Philosophy']","[[('1301 艺术学', 0.685), ('0501 中国语言文学', 0.684), ('0502 外国语言文学', 0.6758), ('1405 智能科学与技术', 0.6679), ('0503 新闻传播学', 0.667)], [('0710 生物学', 0.7369), ('0402 心理学', 0.7327), ('1405 智能科学与技术', 0.7293), ('0811 控制科学与工程', 0.7277), ('1002 临床医学', 0.7245)], [('0811 控制科学与工程', 0.7242), ('0402 心理学', 0.7233)], [('1301 艺术学', 0.7035), ('0501 中国语言文学', 0.691)], [('0101 哲学', 0.772), ('0702 物理学', 0.7246)]]"
