入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000710146900007,10.1016/j.jeconom.2021.03.014,n/a,Difference-in-differences with variation in treatment timing,"Goodman-Bacon, Andrew",JOURNAL OF ECONOMETRICS,0701 Mathematics; 0201 Theoretical Economics,Article,225,2,254-277,2021,3217,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000710146900007,61.176136,14.038287162780762,16.072548,52.59,229.159,200.1549,Domestic - Multiple,99.9921,3.363
WOS:000710146900005,10.1016/j.jeconom.2020.12.001,n/a,Difference-in-Differences with multiple time periods,"Callaway, Brantly; Sant'Anna, Pedro H. C.",JOURNAL OF ECONOMETRICS,0701 Mathematics; 0201 Theoretical Economics,Article,225,2,200-230,2021,2962,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000710146900005,61.176136,14.038287162780762,16.072548,48.42,210.9944,184.2894,Domestic - Multiple,99.9841,3.363
WOS:000535220400001,10.1007/s00181-020-01875-7,n/a,General diagnostic tests for cross-sectional dependence in panels,"Pesaran, M. Hashem",EMPIRICAL ECONOMICS,0701 Mathematics; 0202 Applied Economics; 0201 Theoretical Economics,Article,60,1,13-50,2020,2902,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000535220400001,16.467018,17.196077346801758,20.045172,176.23,168.7594,144.773,International - Bilateral,99.9917,1.713
WOS:000564848500010,10.1257/aer.20181169,n/a,Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects,"de Chaisemartin, Clement; D'Haultfoeuille, Xavier",AMERICAN ECONOMIC REVIEW,0202 Applied Economics; 0201 Theoretical Economics,Article,110,9,2964-2996,2020,2068,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000564848500010,89.62931,17.196077346801758,20.045172,23.07,120.26,103.167,International - Bilateral,99.9834,9.17
WOS:000710146900004,10.1016/j.jeconom.2020.09.006,n/a,Estimating dynamic treatment effects in event studies with heterogeneous treatment effects,"Sun, Liyang; Abraham, Sarah",JOURNAL OF ECONOMETRICS,0701 Mathematics; 0201 Theoretical Economics,Article,225,2,175-199,2021,1819,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000710146900004,61.176136,14.038287162780762,16.072548,29.73,129.5742,113.1743,Domestic - Multiple,99.9762,3.363
WOS:000537293800004,="10.1086/705716",n/a,Robots and Jobs: Evidence from US Labor Markets,"Acemoglu, Daron; Restrepo, Pascual",JOURNAL OF POLITICAL ECONOMY,0201 Theoretical Economics,Article,128,6,2188-2244,2020,1411,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000537293800004,56.309091,17.196077346801758,18.90096,25.06,82.0536,74.6523,Domestic - Multiple,99.9752,9.103
WOS:000780125500005,10.1257/aer.20191823,n/a,Measuring Geopolitical Risk,"Caldara, Dario; Iacoviello, Matteo",AMERICAN ECONOMIC REVIEW,0202 Applied Economics; 0201 Theoretical Economics,Article,112,4,1194-1225,2022,1336,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000780125500005,39.649123,8.780670166015625,6.410985,33.7,152.1524,208.3923,Domestic - Single,99.9913,10.7
WOS:000885663500001,10.1093/qje/qjac038,n/a,When Should You Adjust Standard Errors for Clustering?*,"Abadie, Alberto; Athey, Susan; Imbens, Guido W.; Wooldridge, Jeffrey M.",QUARTERLY JOURNAL OF ECONOMICS,0202 Applied Economics; 0201 Theoretical Economics,Article,138,1,1-35,2022,1029,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000885663500001,50.152174,8.780670166015625,9.869757,20.52,117.1892,104.2579,Domestic - Multiple,99.9827,13.7
WOS:000571403900012,10.1016/j.jpubeco.2020.104235,MEDLINE:32834177,How many jobs can be done at home?,"Dingel, Jonathan, I; Neiman, Brent",JOURNAL OF PUBLIC ECONOMICS,0202 Applied Economics; 0201 Theoretical Economics,Article,189,n/a,n/a,2020,972,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000571403900012,56.451128,17.196077346801758,18.90096,17.22,56.5245,51.426,Domestic - Multiple,99.9669,3.111
WOS:001335965800008,10.20430/ete.v91i364.2522,n/a,Economic development with unlimited supplies of labour,"Lewis, W. Arthur",TRIMESTRE ECONOMICO,0202 Applied Economics; 0201 Theoretical Economics,Article,91,364,n/a,2024,935,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001335965800008,33.5,2.0858471393585205,0.0,27.91,448.2591,0.0,n/a,99.9916,0.5
WOS:000663361500001,10.1162/asep_a_00796,n/a,The Global Macroeconomic Impacts of COVID-19: Seven Scenarios,"McKibbin, Warwick; Fernando, Roshen",ASIAN ECONOMIC PAPERS,0201 Theoretical Economics,Article,20,2,1-30,2021,858,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000663361500001,50.181818,14.038287162780762,15.232018,17.1,61.1186,56.3287,International - Bilateral,99.9682,1.098
WOS:000555699000009,10.1257/aer.20181047,n/a,"Bartik Instruments: What, When. Why, and How","Goldsmith-Pinkham, Paul; Sorkin, Isaac; Swift, Henry",AMERICAN ECONOMIC REVIEW,0202 Applied Economics; 0201 Theoretical Economics,Article,110,8,2586-2624,2020,828,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000555699000009,89.62931,17.196077346801758,18.90096,9.24,48.1505,43.8073,Domestic - Multiple,99.9586,9.17
WOS:000544015700002,10.1093/qje/qjaa004,n/a,THE FALL OF THE LABOR SHARE AND THE RISE OF SUPERSTAR FIRMS,"Autor, David; Dorn, David; Katz, Lawrence F.; Patterson, Christina; Van Reenen, John",QUARTERLY JOURNAL OF ECONOMICS,0202 Applied Economics; 0201 Theoretical Economics,Article,135,2,645-709,2020,812,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000544015700002,125.275,17.196077346801758,21.541225,6.48,47.2201,37.6952,International - Trilateral,99.9503,15.563
WOS:000571403900003,10.1016/j.jpubeco.2020.104245,n/a,Inequality in the impact of the coronavirus shock: Evidence from real time surveys,"Adams-Prassl, Abi; Boneva, Teodora; Golin, Marta; Rauh, Christopher",JOURNAL OF PUBLIC ECONOMICS,0202 Applied Economics; 0201 Theoretical Economics,Article,189,n/a,n/a,2020,767,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000571403900003,56.451128,17.196077346801758,20.045172,13.59,44.6032,38.2636,International - Bilateral,99.9421,3.111
