入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000535220400001,10.1007/s00181-020-01875-7,n/a,General diagnostic tests for cross-sectional dependence in panels,"Pesaran, M. Hashem",EMPIRICAL ECONOMICS,0701 Mathematics; 0202 Applied Economics; 0201 Theoretical Economics,Article,60,1,13-50,2020,2902,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000535220400001,16.467018,18.349655151367188,20.79553,176.23,158.1501,139.5492,International - Bilateral,99.9944,1.713
WOS:000564848500010,10.1257/aer.20181169,n/a,Two-Way Fixed Effects Estimators with Heterogeneous Treatment Effects,"de Chaisemartin, Clement; D'Haultfoeuille, Xavier",AMERICAN ECONOMIC REVIEW,0202 Applied Economics; 0201 Theoretical Economics,Article,110,9,2964-2996,2020,2068,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000564848500010,89.62931,18.349655151367188,20.79553,23.07,112.6997,99.4444,International - Bilateral,99.9888,9.17
WOS:000780125500005,10.1257/aer.20191823,n/a,Measuring Geopolitical Risk,"Caldara, Dario; Iacoviello, Matteo",AMERICAN ECONOMIC REVIEW,0202 Applied Economics; 0201 Theoretical Economics,Article,112,4,1194-1225,2022,1336,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000780125500005,39.649123,10.441544532775879,7.7665577,33.7,127.9504,172.0196,Domestic - Single,99.9943,10.7
WOS:000793579200002,10.1016/j.jfineco.2022.01.004,n/a,How much should we trust staggered difference-in-differences estimates? *,"Baker, Andrew C.; Larcker, David F.; Wang, Charles C. Y.",JOURNAL OF FINANCIAL ECONOMICS,1202 Business Administration; 0202 Applied Economics,Article,144,2,370-395,2022,1067,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000793579200002,34.80102,10.441544532775879,10.939076,30.66,102.1879,97.5402,Domestic - Multiple,99.9886,8.9
WOS:000885663500001,10.1093/qje/qjac038,n/a,When Should You Adjust Standard Errors for Clustering?*,"Abadie, Alberto; Athey, Susan; Imbens, Guido W.; Wooldridge, Jeffrey M.",QUARTERLY JOURNAL OF ECONOMICS,0202 Applied Economics; 0201 Theoretical Economics,Article,138,1,1-35,2022,1029,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000885663500001,50.152174,10.441544532775879,10.939076,20.52,98.5486,94.0664,Domestic - Multiple,99.9829,13.7
WOS:000709772800003,10.1016/j.jfineco.2021.05.008,n/a,Do investors care about carbon risk?,"Bolton, Patrick; Kacperczyk, Marcin",JOURNAL OF FINANCIAL ECONOMICS,0202 Applied Economics; 1202 Business Administration,Article,142,2,517-549,2021,978,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000709772800003,48.172414,15.27236557006836,16.261208,20.3,64.0372,60.1431,International - Bilateral,99.9948,8.238
WOS:000571403900012,10.1016/j.jpubeco.2020.104235,MEDLINE:32834177,How many jobs can be done at home?,"Dingel, Jonathan, I; Neiman, Brent",JOURNAL OF PUBLIC ECONOMICS,0202 Applied Economics; 0201 Theoretical Economics,Article,189,n/a,n/a,2020,972,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000571403900012,56.451128,18.349655151367188,18.929197,17.22,52.971,51.3492,Domestic - Multiple,99.9831,3.111
WOS:000536040000003,10.1093/rfs/hhz137,n/a,The Importance of Climate Risks for Institutional Investors,"Krueger, Philipp; Sautner, Zacharias; Starks, Laura T.",REVIEW OF FINANCIAL STUDIES,1202 Business Administration; 0202 Applied Economics,Article,33,3,1067-1111,2020,949,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000536040000003,65.347518,18.349655151367188,22.550451,14.52,51.7176,42.0834,International - Trilateral,99.9775,5.814
WOS:001335965800008,10.20430/ete.v91i364.2522,n/a,Economic development with unlimited supplies of labour,"Lewis, W. Arthur",TRIMESTRE ECONOMICO,0202 Applied Economics; 0201 Theoretical Economics,Article,91,364,n/a,2024,935,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001335965800008,33.5,2.274681806564331,0.0,27.91,411.0465,0.0,n/a,99.9943,0.5
WOS:000821159500001,10.1093/rof/rfac033,n/a,Aggregate Confusion: The Divergence of ESG Ratings*,"Berg, Florian; Kolbel, Julian F.; Rigobon, Roberto",REVIEW OF FINANCE,1202 Business Administration; 0202 Applied Economics,Article,26,6,1315-1344,2022,907,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000821159500001,31.0,10.441544532775879,10.742832,29.26,86.8645,84.4284,International - Bilateral,99.9773,4.4
