入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000605879000004,10.1136/bjsports-2020-102955,n/a,World Health Organization 2020 guidelines on physical activity and sedentary behaviour,"Bull, Fiona C.; Al-Ansari, Salih S.; Biddle, Stuart; Borodulin, Katja; Buman, Matthew P.; Cardon, Greet; Carty, Catherine; Chaput, Jean-Philippe; Chastin, Sebastien; Chou, Roger; Dempsey, Paddy C.; DiPietro, Loretta; Ekelund, Ulf; Firth, Joseph; Friedenreich, Christine M.; Garcia, Leandro; Gichu, Muthoni; Jago, Russell; Katzmarzyk, Peter T.; Lambert, Estelle; Leitzmann, Michael; Milton, Karen; Ortega, Francisco B.; Ranasinghe, Chathuranga; Stamatakis, Emmanuel; Tiedemann, Anne; Troiano, Richard P.; van der Ploeg, Hidde P.; Wari, Vicky; Willumsen, Juana F.",BRITISH JOURNAL OF SPORTS MEDICINE,0403 Physical Education and Sport Science,Article,54,24,1451-1462,2020,4854,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000605879000004,119.280899,12.957170486450195,40.314903,40.69,374.6188,120.4021,International - Quadrilateral +,99.9931,13.8
WOS:000747668200023,10.1123/ijspp.2021-0451,MEDLINE:34965513,Defining Training and Performance Caliber: A Participant Classification Framework,"Mckay, Alannah K. A.; Stellingwerff, Trent; Smith, Ella S.; Martin, David T.; Mujika, Inigo; Goosey-Tolfrey, Vicky L.; Sheppard, Jeremy; Burke, Louise M.",INTERNATIONAL JOURNAL OF SPORTS PHYSIOLOGY AND PERFORMANCE,1001 Basic Medicine; 0710 Biology; 0403 Physical Education and Sport Science,Article,17,2,317-331,2022,1494,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000747668200023,14.578199,6.283203601837158,17.235926,102.48,237.7768,86.6794,International - Quadrilateral +,99.9916,3.3
WOS:000614236600001,10.1136/bmjsem-2020-000960,MEDLINE:34192010,Changes in physical activity and sedentary behaviours from before to during the COVID-19 pandemic lockdown: a systematic review,"Stockwell, Stephanie; Trott, Mike; Tully, Mark; Shin, Jae; Barnett, Yvonne; Butler, Laurie; McDermott, Daragh; Schuch, Felipe; Smith, Lee",BMJ OPEN SPORT & EXERCISE MEDICINE,0403 Physical Education and Sport Science,Review,7,1,n/a,2021,845,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000614236600001,54.043478,20.081539154052734,30.569696,15.64,42.0784,27.6418,International - Trilateral,99.9487,n/a
WOS:000514839200001,10.1016/j.jshs.2020.02.001,MEDLINE:32099716,Coronavirus disease (COVID-19): The need to maintain regular physical activity while taking precautions,"Chen, Peijie; Mao, Lijuan; Nassis, George P.; Harmer, Peter; Ainsworth, Barbara E.; Li, Fuzhong",JOURNAL OF SPORT AND HEALTH SCIENCE,1202 Business Administration; 0403 Physical Education and Sport Science,Editorial Material,9,2,103-104,2020,673,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000514839200001,68.222222,6.7157158851623535,29.19149,9.86,100.2127,23.0547,International - Trilateral,99.8999,7.179
WOS:000490725100010,10.1007/978-3-030-17795-9_10,n/a,Deep Learning vs. Traditional Computer Vision,"O'Mahony, Niall; Campbell, Sean; Carvalho, Anderson; Harapanahalli, Suman; Hernandez, Gustavo Velasco; Krpalkova, Lenka; Riordan, Daniel; Walsh, Joseph","ADVANCES IN COMPUTER VISION, CVC, VOL 1",0802 Mechanical Engineering; 0817 Chemical Engineering and Technology; 0824 Naval Architecture and Ocean Engineering; 0709 Geology; 0820 Oil and Natural Gas Engineering; 0805 Materials Science and Engineering; 0830 Environmental Science and Engineering; 1201 Management Science and Engineering; 1004 Public Health and Preventive Medicine; 0401 Education; 0814 Civil Engineering; 0804 Instrumentation Science and Technology; 0825 Aerospace Science and Technology; 0823 Transportation Engineering; 1002 Clinical Medicine; 0836 Biotechnology and Bioengineering; 1202 Business Administration; 0833 Urban and Rural Planning; 0811 Control Science and Engineering; 0810 Information and Communication Engineering; 0831 Biomedical Engineering; 1010 Medical Technology; 0813 Architecture; 0303 Sociology; 1204 Public Administration; 0403 Physical Education and Sport Science; 0503 Journalism and Communication; 1001 Basic Medicine; 0714 Statistics; 0402 Psychology; 0812 Computer Science and Technology; 0702 Physics; 0835 Software Engineering; 0701 Mathematics; 0710 Biology,Proceedings Paper,943,n/a,128-144,2020,659,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000490725100010,1.936,1.8118081092834473,1.7122605,340.39,363.7251,384.8713,Domestic - Single,99.9925,n/a
WOS:000507867100007,10.1136/bjsports-2018-099878,MEDLINE:30826805,What does best practice care for musculoskeletal pain look like? Eleven consistent recommendations from high-quality clinical practice guidelines: systematic review,"Lin, Ivan; Wiles, Louise; Waller, Rob; Goucke, Roger; Nagree, Yusuf; Gibberd, Michael; Straker, Leon; Maher, Chris G.; O'Sullivan, Peter P. B.",BRITISH JOURNAL OF SPORTS MEDICINE,0403 Physical Education and Sport Science,Review,54,2,79-+,2020,627,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000507867100007,80.459459,30.47447395324707,26.193548,7.79,20.5746,23.9372,Domestic - Multiple,99.9399,13.8
WOS:000510840700001,10.1111/sms.13616,MEDLINE:32020713,Consequences of physical inactivity in older adults: A systematic review of reviews and meta-analyses,"Cunningham, Conor; O' Sullivan, Roger; Caserotti, Paolo; Tully, Mark A.",SCANDINAVIAN JOURNAL OF MEDICINE & SCIENCE IN SPORTS,0403 Physical Education and Sport Science,Review,30,5,816-827,2020,603,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000510840700001,52.192308,30.47447395324707,39.437157,11.55,19.7871,15.2901,International - Bilateral,99.8799,4.221
WOS:000582365100002,10.1139/apnm-2020-0467,MEDLINE:33054332,"Canadian 24-Hour Movement Guidelines for Adults aged 18-64 years and Adults aged 65 years or older: an integration of physical activity, sedentary behaviour, and sleep","Ross, Robert; Chaput, Jean-Philippe; Giangregorio, Lora M.; Janssen, Ian; Saunders, Travis J.; Kho, Michelle E.; Poitras, Veronica J.; Tomasone, Jennifer R.; El-Kotob, Rasha; McLaughlin, Emily C.; Duggan, Mary; Carrier, Julie; Carson, Valerie; Chastin, Sebastien F.; Latimer-Cheung, Amy E.; Chulak-Bozzer, Tala; Faulkner, Guy; Flood, Stephanie M.; Gazendam, Mary Kate; Healy, Genevieve N.; Katzmarzyk, Peter T.; Kennedy, William; Lane, Kirstin N.; Lorbergs, Amanda; Maclaren, Kaleigh; Marr, Sharon; Powell, Kenneth E.; Rhodes, Ryan E.; Ross-White, Amanda; Welsh, Frank; Willumsen, Juana; Tremblay, Mark S.",APPLIED PHYSIOLOGY NUTRITION AND METABOLISM,0403 Physical Education and Sport Science; 1001 Basic Medicine; 0710 Biology; 1004 Public Health and Preventive Medicine,Article,45,10,S57-S102,2020,578,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000582365100002,16.113208,12.957170486450195,40.314903,35.87,44.6085,14.3371,International - Quadrilateral +,99.9863,2.668
WOS:001035727200012,10.1136/bjsports-2023-106898,MEDLINE:37316210,"Consensus statement on concussion in sport: the 6th International Conference on Concussion in Sport-Amsterdam, October 2022","Patricios, Jon S.; Schneider, Kathryn J.; Dvorak, Jiri; Ahmed, Osman Hassan; Blauwet, Cheri; Cantu, Robert C.; Davis, Gavin A.; Echemendia, Ruben J.; Makdissi, Michael; McNamee, Michael; Broglio, Steven; Emery, Carolyn A.; Feddermann-Demont, Nina; Fuller, Gordon Ward; Giza, Christopher C.; Guskiewicz, Kevin M.; Hainline, Brian; Iverson, Grant L.; Kutcher, Jeffrey S.; Leddy, John J.; Maddocks, David; Manley, Geoff; McCrea, Michael; Purcell, Laura K.; Putukian, Margot; Sato, Haruhiko; Tuominen, Markku P.; Turner, Michael; Yeates, Keith Owen; Herring, Stanley A.; Meeuwisse, Willem",BRITISH JOURNAL OF SPORTS MEDICINE,0403 Physical Education and Sport Science,Article,57,11,695-711,2023,534,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:001035727200012,23.371795,3.747729539871216,9.841969,22.85,142.4863,54.2574,International - Quadrilateral +,99.9908,11.8
WOS:000524506500004,10.1136/bjsports-2019-101969,MEDLINE:32071062,International Olympic Committee consensus statement: methods for recording and reporting of epidemiological data on injury and illness in sport 2020 (including STROBE Extension for Sport Injury and Illness Surveillance (STROBE-SIIS)),"Bahr, Roald; Clarsen, Ben; Derman, Wayne; Dvorak, Jiri; Emery, Carolyn A.; Finch, Caroline F.; Haegglund, Martin; Junge, Astrid; Kemp, Simon; Khan, Karim M.; Marshall, Stephen W.; Meeuwisse, Willem; Mountjoy, Margo; Orchard, John W.; Pluim, Babette; Quarrie, Kenneth L.; Reider, Bruce; Schwellnus, Martin; Soligard, Torbjorn; Stokes, Keith A.; Timpka, Toomas; Verhagen, Evert; Bindra, Abhinav; Budgett, Richard; Engebretsen, Lars; Erdener, Ugur; Chamari, Karim",BRITISH JOURNAL OF SPORTS MEDICINE,0403 Physical Education and Sport Science,Article,54,7,372-389,2020,526,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000524506500004,119.280899,12.957170486450195,40.314903,4.41,40.5953,13.0473,International - Quadrilateral +,99.9794,13.8
