入藏号,DOI,Pubmed ID,论文标题,作者,来源,研究方向,文献类型,卷,期,页,出版年,被引频次,链接,期刊预期被引频次,类别预期被引频次,合作学科预期被引频次,期刊规范化的引文影响力,学科规范化的引文影响力,按主题、年份、文献类型和合作类型调整后的规范化引文影响力。,合作类型,学科领域百分位,期刊影响因子
WOS:000527143700004,="10.1177/1470412920906259",n/a,Feeling good about feeling bad: virtuous virtual reality and the automation of racial empathy,"Nakamura, Lisa",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,Article,19,1,47-64,2020,112,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000527143700004,11.52,1.2079378366470337,1.4965278,9.72,92.72,74.8399,Domestic - Single,99.9137,0.4
WOS:000509322300001,10.1111/1467-8365.12490,n/a,Decolonizing Art History,"Grant, Catherine; Price, Dorothy; Bailey, David A.; Barringer, Tim; Basu, Priyanka; Beckwith, Naomi; Bindman, David; Burke, Jill; Corey, Pamela N.; D'Emilio, James; Elkins, James; Elsner, Jas; Hylton, Richard; Jain, Kajri; Jumabhoy, Zehra; Kassim, Sumaya; Layiwola, Dele; Lok, Susan Pui San; Lugli, Emanuele; Meskimmon, Marsha; Mukherji, Parul Dave; Nelson, Jennifer; Onians, John; Pinder, Kymberly; Pollock, Griselda; Shabout, Nada; Yong, Simon Soon Sien; Tang, Jeannine; Turker, Deniz; Vellodi, Kamini; Ventrella, Francesco; Watanabe, Toshio",ART HISTORY,1301 Art Theory; 1304 Fine Art,Editorial Material,43,1,8-66,2020,57,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000509322300001,28.5,0.28523489832878113,19.333334,2.0,199.8353,2.9483,International - Quadrilateral +,99.8322,n/a
WOS:000527143700002,="10.1177/1470412920906253",n/a,Virtual/reality: how to tell the difference,"Murray, Janet H.",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,Article,19,1,11-27,2020,52,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000527143700002,11.52,1.2079378366470337,1.4965278,4.51,43.0486,34.7471,Domestic - Single,99.8274,0.4
WOS:000688204100007,10.1162/leon_a_02003,n/a,Crypto Art A Decentralized View,"Franceschet, Massimo; Colavizza, Giovanni; Smith, T'ai; Finucane, Blake; Ostachowski, Martin Lukas; Scalet, Sergio; Perkins, Jonathan; Morgan, James; Hernandez, Sebastian",LEONARDO,1304 Fine Art; 1301 Art Theory,Article,54,4,402-405,2021,44,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000688204100007,2.107143,0.9200627207756042,11.2,20.88,47.8228,3.9286,International - Quadrilateral +,99.9216,n/a
WOS:000893390300001,10.1093/jaac/kpac068,n/a,Aesthetic Values in Everyday Life: Collaborating with the World through Action,"Saito, Yuriko",JOURNAL OF AESTHETICS AND ART CRITICISM,0101 Philosophy; 1301 Art Theory; 1304 Fine Art,Editorial Material,81,1,96-97,2022,37,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000893390300001,4.444444,0.16329966485500336,0.51376146,8.33,226.5773,72.0179,Domestic - Single,99.8317,0.8
WOS:000557077200011,10.1162/LEON_a_01930,n/a,Visual Indeterminacy in GAN Art,"Hertzmann, Aaron",LEONARDO,1304 Fine Art; 1301 Art Theory,Article,53,4,424-428,2020,30,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000557077200011,2.112676,1.2079378366470337,1.4965278,14.2,24.8357,20.0464,Domestic - Single,99.7412,n/a
WOS:000744461900003,10.1093/jaac/kpab060,n/a,Toward a Communitarian Theory of Aesthetic Value,"Riggle, Nick",JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Article,80,1,16-30,2021,30,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000744461900003,4.533333,0.9200627207756042,1.1733103,6.62,32.6065,25.5687,Domestic - Single,99.8433,n/a
WOS:000527143700006,="10.1177/1470412920906264",n/a,The aesthetics of reality media,"Engberg, Maria; Bolter, Jay David",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,Article,19,1,81-95,2020,24,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000527143700006,11.52,1.2079378366470337,1.9253731,2.08,19.8686,12.4651,International - Bilateral,99.6549,0.4
WOS:000750848200002,10.1093/jaac/kpab023,n/a,Why the Sublime Is Aesthetic Awe,"Clewis, Robert R.",JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Article,79,3,301-314,2021,23,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000750848200002,4.533333,0.9200627207756042,1.1733103,5.07,24.9983,19.6027,Domestic - Single,99.7649,n/a
WOS:000663432000007,10.1162/leon_a_01793,n/a,"Guerilla Science Mixing Science with Art, Music and Play in Unusual Settings","Rosin, Mark; Wong, Jen; O'Connell, Kari; Storksdieck, Martin; Keys, Brianna",LEONARDO,1304 Fine Art; 1301 Art Theory,Article,54,2,191-195,2021,18,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000663432000007,2.107143,0.9200627207756042,1.6,8.54,19.5639,11.25,International - Bilateral,99.6865,n/a
WOS:000608019300001,10.1093/aesthj/ayaa006,n/a,Schiller on Freedom and Aesthetic Value: Part I,"Matherne, Samantha; Riggle, Nick",BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Article,60,4,375-402,2020,16,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000608019300001,4.88,1.2079378366470337,1.475,3.28,13.2457,10.8475,Domestic - Multiple,99.396,n/a
WOS:000562355200007,10.1093/aesthj/ayz048,n/a,One Imagination in Experiences of Beauty and Achievements of Understanding,"Breitenbach, Angela",BRITISH JOURNAL OF AESTHETICS,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Article,60,1,71-88,2020,16,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=InCites&SrcApp=tsm_test&DestApp=WOS_CPL&DestLinkType=FullRecord&KeyUT=ISI:000562355200007,4.88,1.2079378366470337,1.4965278,3.28,13.2457,10.6914,Domestic - Single,99.396,n/a
