DOI,来源,研究方向,论文标题,CR_学科,CR_摘要,CR_作者和机构,CR_参考文献DOI,CR_出版商
"=""10.1177/1470412920906259""",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,Feeling good about feeling bad: virtuous virtual reality and the automation of racial empathy,[],,[],[],
10.1111/1467-8365.12490,ART HISTORY,1301 Art Theory; 1304 Fine Art,Decolonizing Art History,[],,"[('Catherine Grant', ''), ('Dorothy Price', '')]",[],Oxford University Press (OUP)
"=""10.1177/1470412920906253""",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,Virtual/reality: how to tell the difference,[],,[],[],
10.1162/leon_a_02003,LEONARDO,1304 Fine Art; 1301 Art Theory,Crypto Art A Decentralized View,[],"Abstract Crypto art is limited-edition digital art, cryptographically registered with a token on a blockchain. Tokens represent a transparent, auditable origin and provenance for a piece of digital art. Blockchain technology allows tokens to be held and securely traded without the involvement of third parties. Crypto art draws its origins from conceptual art—sharing the immaterial and distributive nature of artworks, the tight blending of artworks with currency and the rejection of conventional art markets and institutions. The authors propose a collection of viewpoints on crypto art from different actors within the system: artists, collectors, gallerists, art historians and data scientists. A set of emerging themes and open challenges surfaces.","[('Massimo Franceschet', 'Massimo Franceschet, Department of Mathematics, Computer Science, and Physics, University of Udine. Email: massimo.franceschet@uniud.it.'), ('Giovanni Colavizza', 'Giovanni Colavizza, Department of Media Studies, University of Amsterdam. Email: g.colavizza@uva.nl.'), ('T’ai Smith', 'T’ai Smith, Department of Art History, Visual Art and Theory, University of British Columbia. Email: tai.smith@ubc.ca.'), ('Blake Finucane', 'Blake Finucane, Department of Art History, Visual Art and Theory, University of British Columbia. Email: blake@blakefinucane.ca.'), ('Martin Lukas Ostachowski', 'Martin Lukas Ostachowski, ArtbyMLO. Email: martin@ostachowski.com.'), ('Sergio Scalet', 'Sergio Scalet, Hackatao. Email: sergio.scalet@hackatao.com.'), ('Jonathan Perkins', 'Jonathan Perkins, SuperRare.co. Email: jperkins@pixura.io.'), ('James Morgan', 'James Morgan, KnownOrigin.io. Email: james.morgan@blockrocket.tech.'), ('Sebastián Hernández', 'Sebastián Hernández, the Momus Collective. Email: sebdecentr@protonmail.com.')]",[],MIT Press
10.1093/jaac/kpac068,JOURNAL OF AESTHETICS AND ART CRITICISM,0101 Philosophy; 1301 Art Theory; 1304 Fine Art,Aesthetic Values in Everyday Life: Collaborating with the World through Action,[],,"[('Yuriko Saito', 'Division of Liberal Arts, Rhode Island School of Design Emerita Professor, , Providence, RI 02903 , USA')]",['10.1093/oso/9780199672103.001.0001'],Oxford University Press (OUP)
10.1162/LEON_a_01930,LEONARDO,1304 Fine Art; 1301 Art Theory,Visual Indeterminacy in GAN Art,[],"This paper explores visual indeterminacy as a description for artwork created with Generative Adversarial Networks (GANs). Visual indeterminacy describes images that appear to depict real scenes, but on closer examination, defy coherent spatial interpretation. GAN models seem to be predisposed to producing indeterminate images, and indeterminacy is a key feature of much modern representational art, as well as most GAN art. The author hypothesizes that indeterminacy is a consequence of a powerful-but-imperfect image synthesis model that must combine general classes of objects, scenes and textures.","[('Aaron Hertzmann', 'Adobe Research 601 Townsend St San Francisco, CA 94103 U.S.A.')]",['10.1023/A:1026553619983'],MIT Press - Journals
10.1093/jaac/kpab060,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Toward a Communitarian Theory of Aesthetic Value,[],"AbstractOur paradigms of aesthetic value condition the philosophical questions we pose and hope to answer about it. Theories of aesthetic value are typically individualistic, in the sense that the paradigms they are designed to capture, and the questions to which they are offered as answers, center the individual’s engagement with aesthetic value. Here I offer some considerations that suggest that such individualism is a mistake and sketch a communitarian way of posing and answering questions about the nature of aesthetic value.","[('Nick Riggle', 'Department of Philosophy, University of San Diego, San Diego, CA, USA')]","['10.2307/2026797', '10.1111/phpr.12641', '10.1353/hph.2014.0020', '10.1111/phpr.12727', '10.1093/acprof:oso/9780199691517.003.0011', '10.1093/oso/9780197625798.001.0001', '10.1093/aesthj/ayaa006', '10.1080/24740500.2017.1287034', '10.1086/662744', '10.1093/aesthj/ayz024', '10.1080/00048400903207104', '10.1093/aesthj/ayy044', '10.1111/phpr.12747', '10.1111/j.1468-0114.2012.01429.x', '10.1111/j.1540-6245.2012.01519.x', '10.1111/j.1747-9991.2006.00007.x', '10.1093/aesthj/ays038']",Oxford University Press (OUP)
"=""10.1177/1470412920906264""",JOURNAL OF VISUAL CULTURE,1304 Fine Art; 1301 Art Theory; 0303 Sociology; 1305 Design,The aesthetics of reality media,[],,[],[],
10.1093/jaac/kpab023,JOURNAL OF AESTHETICS AND ART CRITICISM,1304 Fine Art; 0101 Philosophy; 1301 Art Theory,Why the Sublime Is Aesthetic Awe,[],"Abstract This article focuses on the conceptual relationship between awe and the experience of the sublime. I argue that the experience of the sublime is best conceived as a species of awe, namely, as aesthetic awe. I support this conclusion by considering the prominent conceptual relations between awe and the experience of the sublime, showing that all of the options except the proposed one suffer from serious shortcomings. In maintaining that the experience of the sublime is best conceived as aesthetic awe, I draw from historical theories of the sublime as well as recent work in empirical psychology.","[('Robert R Clewis', 'Philosophy, Gwynedd Mercy University, Gwynedd Valley, PA 19437, USA')]","['10.3389/fpsyg.2020.01340', '10.3389/fpsyg.2019.00509', '10.1017/CBO9781139018098', '10.1017/CBO9780511978920', '10.1515/9780804798587', '10.1111/jaac.12060', '10.1037/a0027200', '10.1111/j.1540-594X.2007.00271.x', '10.1037/pspp0000120', '10.1111/jaac.12258', '10.1037/aca0000204', '10.3389/fnhum.2014.00891', '10.1080/02699930302297', '10.5840/philtoday201155162', '10.1007/s11098-012-9873-z', '10.1111/jaac.12595', '10.1037/rev0000213', '10.1163/22134913-00002051', '10.1037/aca0000273', '10.1017/CBO9781139775304', '10.1111/j.1475-4975.1997.tb00529.x', '10.1093/aesthj/ayaa047', '10.1111/1540_6245.jaac51.4.0541', '10.1037/rev0000187', '10.1093/acprof:oso/9780198747758.001.0001', '10.1080/17439760.2018.1484940', '10.1037/emo0000450']",Oxford University Press (OUP)
10.1162/leon_a_01793,LEONARDO,1304 Fine Art; 1301 Art Theory,"Guerilla Science Mixing Science with Art, Music and Play in Unusual Settings",[],"Abstract Outreach activities at the interface of science and art present a unique opportunity to connect and engage with “latently interested” publics who do not otherwise take part in science activities such as visiting science museums. In this article, the authors present “Guerilla Science” as one model that supports the hypothesis that well-designed science and art (STEAM) programming in informal settings can broaden participation in and facilitate engagement with STEM-related topics. The article describes a range of interactive events featuring scientists and artists and accompanying research into the impact of these events on a public audience.","[('Mark Rosin', 'Pratt Institute, Department of Math & Science, 200 Willoughby Avenue, Brooklyn, NY 11205, U.S.A. Email: mark@guerillascience.org.'), ('Jen Wong', 'Science Gallery London, London SE1 9GU, U.K. Email: jen@guerillascience.org.'), ('Kari O’Connell', 'STEM Research Center, Oregon State University, Corvallis, OR 97331, U.S.A. Email: kari.oconnell@oregonstate.edu.'), ('Martin Storksdieck', 'STEM Research Center, Oregon State University, Corvallis, OR 97331, U.S.A. Email: storksdieck@oregonstate.edu.'), ('Brianna Keys', 'STEM Research Center, Oregon State University, Corvallis, OR 97331, U.S.A. Email: Brianna.keys@oregonstate.edu.')]","['10.1177/0963662506064240', '10.1080/09500693.2012.664293', '10.1002/sce.20078', '10.1002/tea.21227']",MIT Press - Journals
